postcode,lat,long
RG24 9BA,51.285456,-1.075683
WV6 0AB,52.592389,-2.145375
RG4 9QA,51.482119,-0.942709
HA4 6UY,51.553286,-0.397382
BT11 9QB,54.575312,-6.020801
IP3 0HN,52.036893,1.171201
IP30 0JH,52.146238,0.766462
IP21 4QZ,52.422753,1.249314
NW5 2SQ,51.547824,-0.132628
ST11 9HR,52.969856,-2.082568
N1 1DP,51.538645,-0.103543
CO11 2FG,51.942365,1.066281
SG8 9TA,52.046719,-0.00922
BT93 1GE,54.531205,-7.687959
NR33 7LE,52.459055,1.728624
W13 9AT,51.510657,-0.31737
DN14 7JF,53.749312,-0.86877
BS7 0HD,51.495268,-2.577725
LA13 9QB,54.114077,-3.214088
TS25 4ND,54.668913,-1.242256
S9 5AQ,53.403745,-1.415868
S3 9DU,53.395403,-1.46403
WA5 0LW,53.398,-2.602
CF5 3EH,51.489614,-3.250014
SL6 8RT,51.532155,-0.714541
CR5 2FQ,51.326666,-0.130763
LL11 0PU,53.048909,-3.000085
NR16 2PT,52.436114,0.932926
BT44 0SY,55.088436,-6.081706
E10 7FU,51.566867,-0.034756
UB10 9EL,51.546083,-0.438708
SW14 8SR,51.468979,-0.255885
SY15 6QQ,52.563696,-3.146496
BT30 7WG,54.260973,-5.609922
BH21 2DW,50.797635,-1.953507
LE11 5BE,52.773476,-1.20897
TQ2 7AT,50.48079,-3.548172
KA7 4HY,55.434071,-4.650741
DL3 9LG,54.535805,-1.577321
TS10 4AP,54.602389,-1.080951
NE22 7EY,55.141894,-1.558519
B74 3QH,52.577872,-1.889133
PR8 9TH,53.627005,-2.985821
KA12 0RN,55.622998,-4.656957
E14 7DS,51.512582,-0.025518
RG12 9NL,51.403652,-0.735413
S65 3NU,53.43795,-1.315113
BN16 4AU,50.821838,-0.478718
FK3 8PX,56.008088,-3.728663
DA4 0JS,51.387057,0.204154
TS9 7LA,54.355219,-1.12051
LN7 6JX,53.518549,-0.414956
FK8 1NS,56.124069,-3.938348
SN14 6LY,51.474275,-2.172166
EX20 3HW,50.860889,-4.113203
SW8 1ED,51.48037,-0.122408
CH8 9HT,53.328859,-3.310373
TF7 4JD,52.64,-2.438
IP7 6DN,52.055475,0.940725
GL54 1AL,51.929026,-1.713512
NG16 6DX,53.071839,-1.318307
OX16 9PG,52.056415,-1.349514
RM14 2BD,51.546386,0.248237
SY7 0QE,52.403938,-2.883537
NE27 0LN,55.034369,-1.500951
PE28 3QQ,52.35868,0.036538
M46 0EJ,53.524745,-2.495847
EH7 6HD,55.964092,-3.149162
NR17 2NF,52.517867,1.02607
CT2 0BF,51.297289,1.125586
PL9 0JQ,50.324865,-4.071419
S64 9AL,53.491,-1.29
E7 0PX,51.549233,0.037729
BS5 0UJ,51.464699,-2.57158
NG22 9JB,53.204844,-0.990353
B63 2HY,52.455287,-2.087972
HA8 7RG,51.613462,-0.29218
GU24 9JB,51.33936,-0.642329
DL10 4QB,54.403838,-1.738934
BH31 6WB,50.868374,-1.851348
DH8 9EL,54.82766,-1.816481
KA16 9JT,55.598278,-4.317458
FK10 3AP,56.142361,-3.764045
PE3 7EN,52.58576,-0.26687
SL7 2RH,51.572176,-0.787856
BT80 9HJ,54.626515,-6.767203
S5 8XP,53.41235,-1.472708
BT19 1QP,54.64763,-5.696112
WS1 9QX,52.586012,-1.98128
PR2 1QA,53.762559,-2.756129
BA15 2LU,51.346078,-2.28873
EH4 6JF,55.967443,-3.279642
DT1 2AY,50.704363,-2.436715
M4 3AQ,53.483458,-2.241688
SP11 8JG,51.180261,-1.596312
CA4 8PA,54.899214,-2.836958
HD1 6JX,53.657102,-1.780228
W1W 8AW,51.515772,-0.13979
RG14 9NA,51.40007,-1.322045
OX10 0RA,51.614682,-1.16705
NG15 8EU,53.041025,-1.197491
YO42 4AA,53.874339,-0.780437
NP19 0LH,51.580939,-2.975865
CF83 3AA,51.579294,-3.218116
W6 9UN,51.492895,-0.240581
HU17 0AX,53.845474,-0.422677
M19 2HT,53.44,-2.201
DH7 9NU,54.791367,-1.69878
BA2 0AD,51.34,-2.482
LS28 5UB,53.828933,-1.69624
BR4 9NX,51.374496,-0.022184
TF1 1PN,52.697701,-2.503864
AB31 4LY,57.120431,-2.61125
DE23 3UH,52.893734,-1.521175
GU32 3QL,51.00061,-0.943357
NE6 3RX,54.963907,-1.558832
WV1 2SB,52.587806,-2.100001
NN2 7DH,52.255437,-0.882962
GL4 4PR,51.849216,-2.221866
BN10 7DQ,50.801812,-0.009238
CM6 3PH,51.83761,0.414153
TS18 5PY,54.560112,-1.36483
PO4 0DH,50.79098,-1.075578
N15 3XP,51.560816,-0.131288
CA7 1HQ,54.717,-3.184
